task,package,median
crop,raster,14.14
downsample,raster,46.92
extract-points,raster,0.76
load,raster,21.64
write,raster,124.71
zonal,raster,26.76
crop,rasterio,1.75
downsample,rasterio,4
extract-points,rasterio,15.29
load,rasterio,11.54
ndvi,rasterio,2.08
write,rasterio,28.68
crop,rioxarray,0.24
downsample,rioxarray,10.18
extract-points,rioxarray,69.7
load,rioxarray,14.03
ndvi,rioxarray,3.21
write,rioxarray,24.58
crop,stars,1.84
downsample,stars,60.82
extract-points,stars,3.29
load,stars,33.74
write,stars,38.81
crop,terra,2.02
downsample,terra,7.39
extract-points,terra,0.08
load,terra,21.94
write,terra,27.93
zonal,terra,5.9
ndvi,raster-fun,1.79
ndvi,raster-overlay,2.01
ndvi,stars-fun,1.27
ndvi,stars-st_apply,5.33
ndvi,terra-fun,7.11
ndvi,terra-lapp,5.54
zonal,exactextractr-raster,2.8
zonal,exactextractr-terra,1.35
zonal,rasterstats,70.49
